pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
L 98-59 e,L 98-59,12.8278,0.0712,1.49,2.82,347.0,3415.0,Radial Velocity,2021
HD 63935 b,HD 63935,9.058807,0.083,2.91575244,10.5,825.22,5513.0,Transit,2021
HD 63935 c,HD 63935,21.4027,0.148,3.06451296,11.1,619.59,5513.0,Radial Velocity,2021
GJ 367 b,GJ 367,0.3219226,0.0071,0.736,0.503,1329.0,3535.0,Transit,2021
TOI-2109 b,TOI-2109,0.67247414,0.01791,15.098497,1595.49860314,3646.0,6540.0,Transit,2021
HATS-75 b,HATS-75,2.7886556,0.032742,9.90873894,156.05374784,772.3,3790.4,Transit,2021
LTT 1445 A c,LTT 1445 A,3.1239035,0.02661,1.147,1.54,508.0,3340.0,Transit,2022
TOI-500 b,TOI-500,0.548177,0.01189,1.166,1.42,1617.0,4440.0,Transit,2022
TOI-1075 b,TOI-1075,0.6047328,0.01159,1.791,9.95,1323.0,3875.0,Transit,2022
TOI-1442 b,TOI-1442,0.4090677,0.0071,1.17,1.71,1072.0,3330.0,Transit,2022
TOI-2260 b,TOI-2260,0.3524728,0.0097,1.62,3.26,2609.0,5534.0,Transit,2022
TOI-2445 b,TOI-2445,0.3711281,0.0064,1.25,2.1,1060.0,3333.0,Transit,2022
GJ 3929 b,GJ 3929,2.616235,0.0252,1.09,1.75,568.0,3384.0,Transit,2022
WASP-189 b,WASP-189,2.724033,0.05053,18.14733975,632.47852993,3353.0,8000.0,Transit,2020
TOI-1670 b,TOI-1670,10.98462,0.103,2.06,41.31769291,1062.0,6170.0,Transit,2022
TOI-1670 c,TOI-1670,40.74976,0.249,11.06326395,200.23189641,684.0,6170.0,Transit,2022
HD 260655 b,HD 260655,2.76953,0.02933,1.24,2.14,709.0,3803.0,Transit,2022
HD 260655 c,HD 260655,5.70588,0.04749,1.533,3.09,557.0,3803.0,Transit,2022
TOI-3714 b,TOI-3714,2.154849,0.027,11.32107051,222.4798849,750.0,3660.0,Transit,2022
GJ 3929 c,GJ 3929,15.04,0.081,2.26,5.71,317.0,3384.0,Radial Velocity,2022
GJ 3090 b,GJ 3090,2.85310198,0.0316,2.18,4.52,723.0,3707.0,Transit,2022
TOI-181 b,TOI-181,4.532,0.0539,6.9559,46.1687,895.1,4994.0,Transit,2023
TOI-199 b,TOI-199,104.854,0.4254,9.07927437,54.03082919,325.0,5255.0,Transit,2023
TOI-260 b,TOI-260,13.475853,0.0943,1.71,4.23,493.0,4026.0,Transit,2024
TOI-700 e,TOI-700,27.80978,0.134,0.953,0.818,272.9,3459.0,Transit,2023
TOI-771 b,TOI-771,2.3260155,0.0208,1.36,2.47,543.0,3370.0,Transit,2024
TOI-836.01,TOI-836,8.59545,0.075,2.587,9.6,665.0,4552.0,Transit,2021
TOI-836 b,TOI-836,3.81673,0.0422,1.704,4.53,871.0,4552.0,Transit,2023
LHS 475 b,LHS 475,2.029088,0.02037,0.991,0.941,586.0,3300.0,Transit,2023
TOI-1136 d,TOI-1136,12.5199,0.1062,4.627,8.35,843.0,5770.0,Transit,2022
TOI-1136 c,TOI-1136,6.2574,0.0669,2.879,6.32,1062.0,5770.0,Transit,2022
TOI-1136 f,TOI-1136,26.321,0.174,3.73591482,9.7,658.0,5770.0,Transit,2022
TOI-1136 e,TOI-1136,18.801,0.14,2.639,6.07,737.0,5770.0,Transit,2022
TOI-1173 b,TOI-1173,7.06466,0.0696,9.19,27.4,868.0,5350.0,Transit,2024
TOI-1416 b,TOI-1416,1.0697568,0.019,1.62,3.48,1517.0,4884.0,Transit,2023
TOI-1420 b,TOI-1420,6.9561063,0.071,11.89,25.1,957.0,5510.0,Transit,2023
TOI-1468 c,TOI-1468,15.532477,0.08608,2.126,4.1,338.1,3376.0,Transit,2022
TOI-1468 b,TOI-1468,1.8805201,0.02107,1.401,3.04,683.5,3376.0,Transit,2022
